Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
04.12.1993;Bayern Munich;Leverkusen;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Dortmund;Schalke 04;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Duisburg;Dresden;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.12.1993;FC Koln;Nurnberg;0;1;A;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Hamburg;Karlsruhe;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Leipzig;Stuttgart;0;0;D;;;;;;;;;;;;;;;;;;;;;
04.12.1993;M'Gladbach;Kaiserslautern;3;1;H;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Wattenscheid;Freiburg;3;1;H;;;;;;;;;;;;;;;;;;;;;
04.12.1993;Werder Bremen;Ein Frankfurt;1;0;H;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Dresden;Bayern Munich;1;1;D;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Freiburg;Dortmund;4;1;H;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Kaiserslautern;Ein Frankfurt;1;1;D;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Karlsruhe;FC Koln;2;0;H;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Leipzig;Werder Bremen;1;1;D;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Leverkusen;Wattenscheid;1;1;D;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Nurnberg;M'Gladbach;2;4;A;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Schalke 04;Hamburg;1;0;H;;;;;;;;;;;;;;;;;;;;;
11.12.1993;Stuttgart;Duisburg;4;0;H;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Bayern Munich;Stuttgart;1;3;A;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Dortmund;Leverkusen;1;0;H;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Duisburg;Leipzig;2;1;H;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Ein Frankfurt;Nurnberg;1;1;D;;;;;;;;;;;;;;;;;;;;;
12.02.1994;FC Koln;Schalke 04;1;1;D;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Hamburg;Freiburg;1;1;D;;;;;;;;;;;;;;;;;;;;;
12.02.1994;M'Gladbach;Karlsruhe;1;2;A;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Wattenscheid;Dresden;1;1;D;;;;;;;;;;;;;;;;;;;;;
12.02.1994;Werder Bremen;Kaiserslautern;2;0;H;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Dresden;Dortmund;3;0;H;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Duisburg;Werder Bremen;1;0;H;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Freiburg;FC Koln;2;4;A;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Karlsruhe;Ein Frankfurt;1;0;H;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Leipzig;Bayern Munich;1;3;A;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Leverkusen;Hamburg;1;2;A;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Nurnberg;Kaiserslautern;0;2;A;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Schalke 04;M'Gladbach;2;1;H;;;;;;;;;;;;;;;;;;;;;
19.02.1994;Stuttgart;Wattenscheid;3;0;H;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Bayern Munich;Duisburg;4;0;H;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Dortmund;Stuttgart;1;2;A;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Ein Frankfurt;Schalke 04;1;3;A;;;;;;;;;;;;;;;;;;;;;
26.02.1994;FC Koln;Leverkusen;1;1;D;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Hamburg;Dresden;1;1;D;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Kaiserslautern;Karlsruhe;0;0;D;;;;;;;;;;;;;;;;;;;;;
26.02.1994;M'Gladbach;Freiburg;1;1;D;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Wattenscheid;Leipzig;2;2;D;;;;;;;;;;;;;;;;;;;;;
26.02.1994;Werder Bremen;Nurnberg;2;2;D;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Bayern Munich;Werder Bremen;2;0;H;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Dresden;FC Koln;1;1;D;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Duisburg;Wattenscheid;2;1;H;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Freiburg;Ein Frankfurt;1;3;A;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Karlsruhe;Nurnberg;3;2;H;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Leipzig;Dortmund;2;3;A;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Leverkusen;M'Gladbach;0;1;A;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Schalke 04;Kaiserslautern;2;0;H;;;;;;;;;;;;;;;;;;;;;
05.03.1994;Stuttgart;Hamburg;4;0;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Dortmund;Duisburg;2;1;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Ein Frankfurt;Leverkusen;2;0;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;FC Koln;Stuttgart;3;1;H;;;;;;;;;;;;;;;;;;;;;
